route_id,stop_lat,stop_id,stop_long,stop_desc,stop_name,stop_seq,location_type
03,33.47411990102143,{1FD240BF-9055-49D3-BEEA-14E48CC329D3},-81.96814145004304,Downtown - Board of Education Parking Deck - Library,Greene St - 9th St,32,0
03,33.47491112784488,{603896B5-F3EF-474E-81DF-0BA31FEC0BA1},-81.97042308007075,Downtown - Cobb House - Maxwell House Apts,Greene St - 10th St,33,0
03,33.47539268259673,{87C6D22D-8AC7-42C4-A1F2-5DEE60A1B5E5},-81.97182211084343,Downtown - 1029 BLDG,Greene St - 11th St,34,0
03,33.4759425279554,{CAB8030C-9F02-48C5-8C10-60BD4CD55A6B},-81.97347819763021,Downtown - Augusta Dental Center,Greene St - 12th St,35,0
03,33.4772721554636,{5FD83806-8167-4581-81A7-06809064C7BC},-81.97743638511842,Curtis Baptist Church and School,Greene St - Sacred Heart Cultural Center,36,0
04,33.47570938857594,{2C45060E-7633-452C-B8C9-C10BE80B9AA6},-81.96722794113758,Richmond Cnty Board of Education Admin Bldg - Downtown,Broad St - James Brown Blvd,8,0
04,33.4748054884892,{43B77B24-E6B5-4146-AF1C-8071C450A60B},-81.96456675984746,Public Housing - Imperial Theater - Downtown - Theater District,Broad St - Richmond Summit,9,0
04,33.47284682743604,{5E504A36-AD00-4955-AD91-55A92EFA7E2D},-81.9643193687908,701 Bldg - Chamber of Commerce - Downtown - Business District,7th St - Greene St,10,0
04,33.47099094660485,{1EC05F7D-4544-437C-8F74-47EBF4DCAA70},-81.96524974764964,Civic Center  - Bell Auditorium - 1st Presbyterian Church,7th St - James Brown Arena,11,0
04,33.46966516451865,{F5516250-F8D2-4C22-A09E-F1A7ACDB3A2B},-81.96596944361926,Civic Center,delete,,0
04,33.46887098294212,{3F614EA6-E967-42A6-96E6-217A0268A45D},-81.96637945955838,Civic Center - Masters Table,7th St - Fenwick St,12,0
04,33.46768463301147,{0468E964-03FF-4118-84A3-F0726E6D50D9},-81.96695423898248,Residential - Warehouse,7th St - Taylor St,13,0
04,33.46358755779533,{A538C7FE-18CA-41AD-AA60-B0DD240820B3},-81.96906812638461,Garden Villa Apts - Residential,7th St - Hopkins St,14,0
04,33.46226241263493,{4387AFA5-ED16-49BD-B592-3D9BA13AEF73},-81.96954650389465,MM Scott Public Housing - Residential,Twiggs St - Laney Walker Blvd,15,0
04,33.46172633343032,{9F855F32-FB1E-4021-9EFF-B6F368D7D814},-81.96977968852096,MM Scott Public Housing - Residential,Twiggs St - MM Scott Public Housing,16,0
04,33.46009628295101,{8D179AC7-1756-400A-8343-CAF68FB15936},-81.97169239673386,MM Scott Public Housing - Residential,Twiggs St - MM Scott Public Housing,17,0
04,33.45954731892622,{CA12E8B9-18AC-44BB-A909-4600F378B754},-81.97391232419523,Apts - Residential - Church,Twiggs St - Mt Zion Church,18,0
04,33.45956384591071,{5A95529D-084B-48F7-8465-64A18E6E36D9},-81.97549474848974,Residential,Twiggs St - 9th St,19,0
04,33.45874320865962,{5087CE1C-4627-4629-A846-37F321962C04},-81.97682558385465,Residential,Twiggs St - Parks Ave,20,0
04,33.45768256093923,{18B9C893-C309-4C57-AC1B-2E62965FA5C7},-81.97872198224809,Residential - Jordan Grove Baptist,Twiggs St - David St,21,0
04,33.45718215785902,{31685641-70DB-46B5-9FC8-0F8B64C7F8CA},-81.98012582646454,Residential,MLK Blvd - Picquet Ave,22,0
04,33.45630090619736,{1058D4D8-DDBF-49FE-BC19-9AD38E0AA539},-81.9828567254161,Convenience Store,MLK Blvd - 12th St,23,0
04,33.45586029207156,{23519390-841E-4D13-B0BC-9F901865B0CD},-81.9842175013474,Residential,MLK Blvd - Camille St,24,0
04,33.45517014442504,{24B38850-1E22-4D66-9654-1708170ACC24},-81.98636954466967,Smittys Place - Neighborhood Business,MLK Blvd - Mill St,25,0
04,33.45440478075927,{1BF4D8C3-955A-47D1-B14A-66DAB9C59B95},-81.98873941349876,Residential - Fire Station,MLK Blvd - Fuller St,26,0
04,33.45404317942535,{5A4E3A05-5957-4E34-9A7A-E6C3B69B1357},-81.9898203153152,Residential,MLK Blvd - Kent St,27,0
04,33.45359722752871,{C41A6E63-6B87-4D0B-BA53-DEC52BAD5539},-81.99122021046554,Convenience  Store - Beauty Shop - Neighborhood Business,MLK Blvd - Swanee Quintet Blvd,28,0
04,33.45293741043417,{69F70790-9E94-487D-84AB-049FB1FE9BA6},-81.99327917604705,Residential,MLK Blvd - 7th Ave,29,0
04,33.45176473246826,{7DF4DA3C-426A-41F8-841B-1054D37588B5},-81.99519168977639,First Mt Moriah Baptist Church - Residential,9th Ave - MLK Blvd,30,0
04,33.44983596172591,{40C2DFF9-A32D-46C9-A12B-D28AB8E7E5DE},-81.99385905600458,Residential,9th Ave - Grand Blvd,31,0
04,33.44901613798294,{A0C5FD58-A911-4059-84B0-495ABDFBE7E0},-81.99543035394707,Carrie J Mays Park - Residential,Grand Blvd - 11th Ave,32,0
04,33.44845223125616,{DDDC023B-61F2-4260-A2B2-C83AEBF3C602},-81.99654167780521,Residential,Grand Blvd - 12th Ave,33,0
04,33.44709186841545,{B931F830-2F1C-4E38-8A5B-A9A3BCDF6F71},-81.9992952102964,Residential,Grand Blvd - 15th Ave,34,0
04,33.44739704138643,{D1791EB6-71AD-442F-AEAF-B3695E18651D},-82.00134038535687,Southview Cemetery,Nellieville Rd - Sullivan Rd,35,0
04,33.44523857581191,{8065C864-6161-409A-88DD-1635F85C8065},-82.00314379701976,Residential - Doughtery Park,Nellieville Rd - 2nd Ave,36,0
04,33.44391721804766,{7920D324-7F0D-4F9C-9ABD-11017B6CE578},-82.00255741764663,Ball Park - Recreation,3rd Ave - Doughtery Park,37,0
